code,secteur_chefferie
Code,Secteur/Chefferie
1,Kinshasa
2,Kongo-Central
2201,Territoire de Kasangulu
2201401,Secteur de Kasangulu
2201402,Secteur de Luila
2201403,Secteur de Lukunga-Mputu
2202,Territoire de Kimvula
2202401,Secteur de Benga
2202402,Secteur de Lubisi
2202403,Secteur de Lula-Lumene
2203,Territoire de Lukula
2203401,Secteur de Fubu
2203402,Secteur de Kakongo
2203403,Secteur de Patu
2203404,Secteur de Tsanga-Sud
2203405,Secteur de Tsundi-Sud
2204,Territoire de Luozi
2204401,Secteur de Balari
2204402,Secteur de Kenge
2204403,Secteur de Kimbanza
2204404,Secteur de Kimumba
2204405,Secteur de Kinkenge
2204406,Secteur de Kivunda
2204407,Secteur de Mbanza Mona
2204408,Secteur de Mbanza Mwembe
2204409,Secteur de Mbanza Ngoyo
2204410,Secteur de Mongo Luala
2205,Territoire de Madimba
2205401,Secteur de Kinkosi (Luidi)
2205402,Secteur de Mfidi Malele
2205403,Secteur de Mfuma-Kibambi
2205404,Secteur de Ngeba
2205405,Secteur de Ngufu
2205406,Secteur de Wungu
2206,Territoire de Mbanza-Ngungu
2206401,Secteur de Boko
2206402,Secteur de Gombe-Matadi
2206403,Secteur de Gombe-Sud
2206404,Secteur de Kivulu
2206405,Secteur de Kwilu-Ngongo
2206406,Secteur de Lunzadi
2206407,Secteur de Ntimansi
2207,Territoire de Moanda
2206401,Secteur d'Assolongo
2206402,Secteur de Boma-Bungu
2206403,Secteur de la Mer
2208,Territoire de Seke-Banza
2208401,Secteur de Bundi
2208402,Secteur d'Isangila
2208403,Secteur de Lufu
2208404,Secteur de Mbavu
2208405,Secteur de Sumbi
2209,Territoire de Songololo
2209401,Secteur de Bamboma
2209402,Secteur de Kimpese
2209403,Secteur de Luima
2209404,Secteur de Palabala
2209405,Secteur de Wombo
2210,Territoire de Tshela
2210401,Secteur de Bula-Naku
2210402,Secteur de Loango
2210403,Secteur de Lubolo
2210404,Secteur de Lubuzi
2210405,Secteur de Maduda
2210406,Secteur de Nganda-Tsundi
2210407,Secteur de Nzobe Luzi
2210408,Secteur de Tshela Banga
3,Kwango
3201,Territoire de Feshi
3201401,Secteur de Feshi Maziamo
3201402,Secteur de Ganaketi
3201403,Secteur de Lobo
3201404,Secteur de Mukoso
3202,Territoire de Kahemba
3202301,Chefferie de Muloshi
3202302,Chefferie de  Mwa-Mushiko
3202303,Chefferie de  Mwendjila
3202401,Secteur de Bangu
3202402,Secteur de Bindu
3202403,Secteur de Kulindji
3203,Territoire de Kasongo-Lunda
3203301,Chefferie de Kasa
3203302,Chefferie de Kasongo-Lunda
3203401,Secteur de Kibunda
3203402,Secteur de Kingulu
3203403,Secteur de Kizamba
3203404,Secteur de Mawanga
3203405,Secteur de Panzi
3203406,Secteur de Swa-Tenda
3204,Territoire de Kenge
3204301,Chefferie de Pelende-Nord
3204401,Secteur de Bukanga-Lonzo
3204402,Secteur de Dinga
3204403,Secteur de Kolokoso
3204404,Secteur de Mosamba
3205,Territoire de Popokabaka
3205401,Secteur de Lufuma
3205402,Secteur de Popokabaka
3205403,Secteur de Yonso
4,Kwilu
4201,Territoire de Bagata
4201401,Secteur de Kidzweme
4201402,Secteur de Kwango-Kasai
4201403,Secteur de Kwilu-Ntober
4201404,Secteur de Manzasay
4201405,Secteur de Wamba-Fatundu
4202,Territoire de Bulungu
4202401,Secteur de Dwe
4202402,Secteur d' Imbongo
4202403,Secteur de Kilunda
4202404,Secteur de Kipuka
4202405,Secteur de Kwenge
4202406,Secteur de Kwilu-Kimbata
4202407,Secteur de Luniungu
4202408,Secteur de Mikwi
4202409,Secteur de Niadi-Nkara
4202410,Secteur de Nko
4203,Territoire de Gungu
4203401,Secteur de Gungu
4203402,Secteur de Kandale
4203403,Secteur de Kilamba
4203404,Secteur de Kilembe
4203405,Secteur de Kisunzu
4203406,Secteur de Kobo (Mosala)
4203407,Secteur de Kondo
4203408,Secteur de Lozo
4203409,Secteur de Lukamba
4203410,Secteur de Mudikalunga
4203411,Secteur de Mungindu
4203412,Secteur de Ngudi
4204,Territoire d'Idiofa
4204401,Secteur de Banga
4204402,Secteur de Belo
4204403,Secteur de Bulwem
4204404,Secteur de Kalanganda
4204405,Secteur de Kanga
4204406,Secteur de Kapia
4204407,Secteur de Kipuku
4204408,Secteur de Madimbi
4204409,Secteur de Mateko
4204410,Secteur de Musanga-Idiofa
4204411,Secteur de Sedzo
4204412,Secteur de Yasa-Lokwa
4205,Territoire de Masi-Manimba
4205401,Secteur de Bindungi
4205402,Secteur de Kibolo
4205403,Secteur de Kinzenga
4205404,Secteur de Kinzenzengo
4205405,Secteur de Kitoy
4205406,Secteur de Masi-Manimba
4205407,Secteur de Mokamo
4205408,Secteur de Mosango
